customer_id,customer_name,cust_first_inv_date,ar_pct_curr,delivery_count,net_sales_amt,cust_mar_qual
100036616,CRYSTAL MOUNTAIN-THISTLE,2009-06-22,1,35,17634.89,0.208
100037117,OSAKA JAPANESE RESTAURANT,2009-11-20,0.571,29,85555.66,0.137
100038433,ADAM'S SUBS,2009-08-19,0.752,47,74261.73,0.238
100039873,LEFTY & ROMOS BAR & GRILL,2009-12-02,0.963,63,254506.91,0.186
100040127,STONEWALL RESORT,2009-10-13,0.919,30,301878.72,0.172
100040427,TURTLE CREEK - DELI,2023-10-30,1,29,117024.89,0.229
100040620,FLASHBACK DINER & COFFEE HOUSE,2023-05-05,0.714,46,145975.71,0.247
100040912,RUSH CREEK BISTRO AT SUNNYBROOK CC,2023-11-01,0.947,50,166728.54,0.108
100041591,CLARA'S ON THE RIVER,2023-10-31,0.971,37,216873.67,0.201
100042886,OLMSTED (THE),2024-02-26,0.992,43,50682.54,0.161
100043495,SAILFISH CLUB OF FLORIDA,2010-04-16,0.786,42,67962.61,0.159
100044307,O'MADDY'S,2010-03-25,0.955,52,280134.07,0.201
100045210,ROSEN PLAZA HOTEL,2010-06-04,0.962,36,43671.51,0.216
100045211,ROSEN CENTRE HOTEL,2010-06-04,0.988,50,93315.59,0.156
100045228,FIRE ROCK AT STONEWATER CC,2023-10-30,0.944,52,249314.63,0.08
100045580,FAT CAT PIZZERIA,2010-04-13,0.997,28,144454.53,0.251
100045582,J BALDWINS,2015-05-14,0.959,36,76395.87,0.266
100046555,"ISLAND SLICE PIZZERIA, INC",2010-05-06,0.991,76,176950.38,0.183
100046802,Railside Golf Club,2012-01-20,0.956,44,103635.59,0.282
100047010,HARPOON HARRY'S,2010-05-29,0.626,36,52699.5,0.239
100048472,MARANATHA SWEET SHOP,2024-04-19,0.986,29,61730.3,0.295
100048552,BOOTLEGGERS BAR & GRILLE,2010-07-06,0.892,40,129130.79,0.18
100049592,LAKE HOUSE (THE),2013-07-05,0.957,68,175664.28,0.139
100050088,Chicken Shack,2024-04-29,0.839,43,443964.63,0.121
100050450,Gallos Kitchen & Bar,2024-01-16,0.996,37,47758.59,0.273
100051276,HARRY BUFFALO - N OLMSTED,2010-09-24,0.994,28,116309.77,0.136
100052205,OLD BURDICKS AT WINGS WEST - FOOD,2023-11-01,0.998,28,59532.36,0.127
100052314,Bigham Tavern,2010-11-01,0.961,42,208558.02,0.151
100052496,WILLOW (THE),2010-10-22,1.35,34,98290.46,0.262
100052840,Cherry House Cafe,2024-05-06,0.999,36,108923.51,0.201
100053542,BREWERY VIVANT,2010-12-09,0.995,31,56506.94,0.255
100053869,A PAPANOS PIZZA #2,2011-05-05,0.828,37,89586.82,0.113
100054181,EXCHANGE PUB & KITCHEN,2013-08-15,0.998,41,117697.07,0.181
100054204,BAJA BURRITO,2011-01-18,0.98,51,225552.44,0.151
100054266,NEW YORK FRIED CHICKEN,2010-12-31,0.801,36,132245.24,0.147
100054560,SCHMIDTS SAUSAGE HAUS REST,2011-03-04,0.87,41,413237.3,0.228
100054576,ROOTS CHICAGO AVE,2019-03-22,0.505,35,51285.04,0.138
100055151,ISLA DEL SOL YACHT & COUNTRY CLUB,2011-02-05,1.002,33,98803.91,0.245
100055531,NORTH SHORE COUNTRY CLUB,2017-03-31,0.984,30,130843.64,0.165
100056135,JAY'S LOUNGE,2011-03-14,0.98,41,125240.28,0.177
100056347,EMPIRE VILLAGE INN,2011-03-17,0.645,37,82963.63,0.242
100056392,DAVID'S DELICATESSEN & COFFEE SHOP,2011-03-23,0.976,37,60888.32,0.296
100056536,SHOTMAKERS SPORTS BAR & GRILL,2011-04-14,0.916,28,89259.83,0.26
100057036,HARRINGTON'S BY THE BAY,2011-04-27,1,32,81960.86,0.208
100057165,BUFFALOUIE'S AT THE GABLES,2011-04-12,0.999,40,296006.86,0.114
100057192,ITTY BITTY BAR,2011-04-21,1.131,37,117864.54,0.176
100057432,FLAP JACK RESTAURANT,2023-10-30,0.977,52,92861.03,0.109
100057496,LUCKY BEAN COFFEE HOUSE,2023-12-01,0.585,68,56056.32,0.419
100057546,ACE ADVENTURE RESORT,2019-05-07,0.836,44,102838.56,0.279
100057873,SANDERS CANDY/EDWARD BUILDING,2024-04-24,0.989,52,29166.13,0.298
100057891,MOSSBACKS,2011-05-13,1.014,37,101924.4,0.208
100057905,PIER 33 ON THE CHEBOYGAN,2011-06-01,1.006,28,39049.73,0.31
100058154,CHOMP,2011-05-20,0.939,36,74667.13,0.294
100058400,Sweetwater Chop House,2011-05-30,0.993,28,109065.21,0.206
100058498,SMOKIN' HOT BBQ,2011-05-27,0.992,28,77066.12,0.16
100058780,COACH'S BAR & GRILL,2011-07-14,0.995,36,133460.93,0.223
100059168,ZEHNDERS'S SPLASH VILLAGE,2023-11-02,0.747,37,304989.62,0.283
100059205,ZEHNDERS RESTAURANT-CHICKEN,2023-11-01,0.754,28,255086.15,0.082
100059206,ZEHNDER'S HOTEL & RESTAURANT,2023-10-31,0.749,66,625659.36,0.265
100059472,SHACK IN THE BACK BBQ,2011-08-11,0.962,36,179667.41,0.266
100059618,"LADYFINGERS FINE CATERING, INC",2020-10-08,-0.557,40,59910.95,0.208
100059948,Beale St Smoke House #1,2011-08-10,0.697,36,152966.01,0.257
100060136,GRAND CONEY - MICHIGAN,2023-10-30,0.957,34,176707.91,0.158
100060406,CLIPPER CAFE,2016-08-19,0.871,61,100698.39,0.231
100061166,FOGGY'S STEAK HOUSE,2011-09-01,0.654,37,120006.25,0.168
100061442,MASTERSON'S CATERING - NUTRITION,2024-02-26,0.999,58,281038.27,0.152
100062072,BIG APPLE BAGELS,2011-10-04,0.838,28,62607.94,0.325
100062205,STONE HOUSE RESTAURANT 125929E,2015-03-26,0.579,35,145684.17,0.2
100062333,SGT. PEPPERS,2011-10-05,0.982,28,29710.82,0.235
100063447,FRESH,2011-11-17,0.999,63,224699.75,0.167
100063468,COUNTRY CLUB AT WOODFIELD (THE),2011-11-18,1.036,28,97980.42,0.11
100063599,CRUST,2023-10-30,0.995,48,267601.66,0.159
100064164,MATTERHORN CATERING,2012-01-09,0.996,60,216433.32,0.138
100064552,KITCHEN (THE),2023-10-30,0.998,40,64765.43,0.305
100064666,"REDWOOD BREWING CO, INC",2013-08-14,0.966,62,305953,0.2
100064716,RYE BELLES,2015-07-24,0.984,61,169469.46,0.26
100064981,AJ Hudsons Public House,2023-02-03,0.922,30,22892.25,0.125
100066229,SCOOTER'S CAFE & PIZZERIA,2012-03-01,0.99,30,71608,0.25
100066363,MASTERSONS CATERING - BISTRO MD,2023-12-15,1.001,54,264777.05,0.098
100066506,TIM'S TOO,2023-10-30,0.983,28,14185.93,0.288
100066601,OUTPUT LOUNGE,2012-03-13,0.939,28,207524.52,0.099
100066906,TOWNE PLAZA,2012-04-06,0.977,49,38035.61,0.282
100066941,Island Resort Casino Horizons Steakhouse,2023-10-31,0.982,28,8552.23,0.194
100066996,MAMMA MIA PIZZERIA & RESTAURANT,2023-05-01,0.993,37,197567.2,0.095
100068657,SORELLINA,2023-10-31,1,40,65286.13,0.228
100068853,WALLY & GERTZ,2024-05-22,0.976,35,39597.05,0.239
100069076,BOAT HOUSE BAR & GRILL,2013-04-17,0.997,37,218792.3,0.259
100069086,CHICKEN PATIO,2024-03-27,0.983,29,81712.49,0.264
100069443,MEAT,2012-06-07,0.886,36,95772.13,0.211
100070159,AMICO'S NEW YORK PIZZA,2013-05-29,1,35,88122.68,0.125
100070993,MACITA'S #2,2023-05-02,0.95,28,68780.55,0.182
100071115,CARLSON'S FISHERY,2012-07-16,0.991,30,116157.83,0.18
100071186,SANDY POINT BEACH HOUSE,2012-10-12,0.98,49,120747.8,0.226
100071196,CRYSTAL MOUNTAIN-F&B PRODUCTION,2023-11-03,1,36,19533.18,0.204
100071472,NUTRISPA 129809E,2012-08-08,0.998,56,248737.39,0.048
100072701,MCSHANES,2012-09-21,0.86,37,188750.01,0.217
100073755,South Philly Ch.Steak (34th),2021-01-11,0.949,37,82305.44,0.206
100073929,LATHAM'S BBQ & MEAT COMPANY,2012-10-10,0.789,29,145919.68,0.01
100074924,OCEAN MANOR,2012-12-07,0.786,34,120839.21,0.242
100076002,HANDSOME HOBO RESTAURANT & BAR (THE),2023-11-03,0.986,29,13718.71,0.298
100076119,FOREST HILLS FOODS DELI,2023-10-30,0.957,82,177664.88,0.31
100076681,MAGGIES CAFE & CATERING,2023-10-30,0.96,30,60707.4,0.304
100078208,THIRSTY STURGEON (THE),2013-04-03,0.989,53,166523.9,0.239
100078448,MATTY'S BAR & GRILLE,2019-10-28,0.806,30,319337.8,0.198
100078512,Hospitality Events at Dolphin TRAINING C,2013-04-11,0.889,29,81162.01,0.23
100079164,GATHER AROUND BBQ,2020-06-15,0.972,35,47677.4,0.2
100079179,EXTRA VIRGIN FOOD SERVICES,2023-10-31,0.991,61,288925.9,0.175
100079420,PIB DAIRY ISLE,2024-05-15,0.978,37,37940.39,0.27
100079719,WINDOWS ON THE RIVER,2013-05-23,0.985,32,82009.72,0.172
100079724,Lady Caroline,2024-04-03,0.984,36,120980.7,0.202
100080578,BALLO,2011-08-15,0.958,37,121893.55,0.168
100080593,ATKINS/SANDWICH WRAP,2009-09-09,0.964,36,13015.32,0.34
100080604,BALLARD'S INN,1985-06-01,0.923,36,133162.04,0.267
100080631,Lobster Pot Restaurant,2008-04-03,0.898,36,45471.97,0.13
100080639,"LARSEN'S FISH MARKET, INC.",1997-06-20,1,29,160378.34,0.221
100080860,LINDY'S TAVERN,2016-11-17,0.991,28,159033.52,0.181
100080942,BARKING CRAB-BOSTON,2008-12-26,0.985,76,675488.28,0.201
100080960,BARTLETT'S,2000-05-10,0.993,43,281066.96,0.301
100081042,City Streets Restaurant,2021-10-28,0.994,37,73158.72,0.227
100081179,BELMONT MARKET/PRODUCE,2003-11-04,0.96,34,33309.51,0.37
100081181,BELMONT MARKET/PREPARED FOODS,2003-11-04,0.984,28,99675.38,0.18
100081242,LOOKOUT TAVERN,1999-06-30,0.97,46,580947.07,0.118
100081642,THE BLACK DOG CAFE,1996-05-17,0.937,33,48218.79,0.348
100081677,BLOUNT MARKET,2006-03-10,0.998,36,146568.85,0.151
100081678,Blount Clam Shack,2007-04-23,0.998,36,315489.68,0.117
100081930,MORIN'S CATERERS,1985-02-01,1,0,38.72,0.109
100081931,MORIN'S RESTAURANT,2004-11-03,0.825,0,189.99,0.383
100081998,NANCY'S,1992-08-07,0.756,60,127910.91,0.144
100083861,ALDO'S BAKERY,1985-06-01,0.973,49,151572.26,0.215
100084377,FALMOUTH RAW BAR,2008-07-31,0.997,32,184685.77,0.227
100084831,BUTCHER BOY BAKE,1996-02-09,0.985,37,73482.82,0.3
100084912,EDGARTOWN MEAT & FISH MARKET,2011-04-27,0.964,72,180469.1,0.216
100086207,HAMEL'S CATERING,2002-10-09,0.998,36,93884.48,0.199
100086896,BUFF'S PUB,2011-08-12,1,40,246549.88,0.199
100087291,AMATO'S EXPRESS/CIRCLE-K #7075,2003-02-16,0.999,37,92732.75,0.144
100087946,AJ LETIZIO SALES & MARKET,2004-02-11,0.547,0,2207.94,0.203
100087994,"ALICE'S LAST STOP, INC",2007-11-09,0.888,0,1219.34,0.347
100088090,AMATO'S ITALIAN SANDWICH SHOP,1991-11-04,0.989,28,119112.95,0.157
100088097,AMATO'S WHOLESALE,1992-04-14,0.996,34,29057.7,0.149
100088099,AMATO'S ITALIAN SANDWICH SHOP,1996-10-02,0.998,28,89849.94,0.133
100088332,The Daily Brew,2006-05-17,0.99,32,68158.77,0.23
100088418,DAVENPORT'S  RESTAURANT,1999-11-12,0.978,37,165806.78,0.117
100088991,ADAMS/ NEWBURGH- PREP,2004-01-05,0.991,34,30963.3,0.254
100089656,Pranzi Inc,2004-11-19,1.017,40,463525.11,0.184
100090369,REBECCA'S RESTAURANT,1994-06-29,0.977,40,109195.34,0.18
100090729,MAMA MIA (PLYMOUTH),2007-04-01,0.978,0,278.48,0.693
100091095,"A SLICE OF ITALY, INC.",2007-04-01,0.855,30,65090.24,0.257
100091603,SEAFOOD SHANTY,1997-05-19,0.99,69,241431.74,0.12
100091797,BLOUNT SEAFOOD CORPORATION,1999-05-13,0.821,0,15583.2,0.265
100091966,"SEAFOOD SAM'S FALMOUTH, INC.",2017-02-24,0.995,35,228499.27,0.097
100092256,MCQUADE'S MARKET (DELI)-WESTERLY,1999-05-12,0.996,35,24925.49,0.179
100092259,MCQUADE'S MARKET (BKRY/PAPER)-WESTERLY,1999-05-12,1.003,30,9310.29,0.302
100092269,MCQUADE'S MARKET (DELI)-MYSTIC,1999-05-12,1.009,29,11067.24,0.263
100092272,MCQUADE'S MARKET (BKRY/PAPER)-MYSTIC,1999-05-12,0.969,34,10131.53,0.342
100092279,MCQUADE'S MARKET (GALLEY)-MYSTIC,2009-07-01,0.988,30,38681.84,0.291
100092516,SOMETHING NATURAL,2004-06-02,0.945,51,97573.83,0.149
100092685,STONE'S PUBLIC HOUSE,2003-06-12,0.997,28,66741.36,0.326
100093134,MANGO'S WOOD-FIRE PIZZA,2020-03-04,0.974,37,82600.9,0.062
100093320,THE CORNER STORE,2010-10-01,0.978,28,93536.47,0.158
100093553,BAXTER'S FISH & CHIPS,2011-04-08,0.922,34,45946.64,0.24
100094007,GRUMPY'S,2011-01-14,0.851,29,86234.69,0.248
100094037,JOHNNY MACARONI'S,2011-01-06,0.856,35,131047.46,0.222
100094118,P. J.'S FAMILY RESTAURANT,2011-04-08,0.995,31,54470.87,0.177
100094333,WATERSIDE MARKET,2008-04-02,0.989,70,113658.01,0.304
100094336,WELLFLEET BEACHCOMBER,2008-06-16,0.996,37,219787.96,0.173
100095057,WOOLFIE'S BAKERY,2011-05-19,0.942,32,196770.13,0.259
100095216,VINEYARD CASH & CARRY,1993-05-12,0.992,76,171632.71,0.283
100095988,WOODLAND GOLF CLUB,1994-09-30,0.941,45,130473.5,0.106
100096044,Woodland Variety & Grill,1993-10-27,0.994,28,67325.36,0.316
100097065,MUDPENNY,2013-07-19,0.955,35,43269.76,0.307
100097124,SLABTOWN BURGERS,2013-05-09,0.812,37,161327.46,0.173
100097203,GIORDANO'S RESTAURANT,2024-04-22,0.613,63,98589.39,0.248
100097206,JUICE BAR,2013-05-02,0.99,31,58432.59,0.319
100097245,CANTON FOOD ENTERPRISES,2013-05-21,0.935,33,101354.53,0.149
100099256,DELTA HOTELS BY MARRIOTT MUSKEGON,2013-07-05,0.749,74,108885.67,0.172
100100539,SHESHCO MEDITERRANEAN GRILL,2013-07-30,0.73,44,133784.23,0.16
100104217,FIRE PIT GRILLE,2013-10-29,0.995,28,53623.31,0.315
100104722,FINKA TABLE & TAP,2023-05-03,0.957,36,68667.55,0.048
100105129,CRESCENT BAKERY & CAFE FRANKFORT,2014-03-25,0.978,29,39526.4,0.304
100105264,TAVOLINO FOXBOROUGH,2024-02-28,0.904,40,220052.21,0.11
100105266,SIENA MASHPEE,2024-02-26,0.937,36,193672.13,0.135
100105304,DOUBLE JJ - SUNDANCE,2014-06-03,0.998,44,137130.43,0.263
100105355,KEYSBITE,2014-01-03,0.875,32,47385.68,0.287
100105361,FLAKOWITZ BAGEL INN,2023-05-01,0.941,29,95572.93,0.158
100105431,KEYS (THE),2024-04-23,0.97,54,271358.69,0.215
100105767,2ND ST BISTRO,2021-05-24,-1.992,30,68098.75,0.127
100106154,J&S HAMBURG,2014-01-13,1,32,142755.75,0.265
100106220,DONKEY,2014-02-28,1.402,58,153281.63,0.153
100106243,ALA CARTE CAFE,2014-01-13,0.983,35,77444.61,0.347
100106726,JOHNNY MACARONI II,2024-02-27,0.942,36,116778.26,0.216
100106989,LITTLE BAD WOLF,2014-02-05,0.921,37,233389.35,0.199
100107317,JOURNEYMAN DISTILLERY,2022-05-12,0.978,51,157097.52,0.161
100107860,MAMMA MIA'S-PINEHILLS,2024-02-26,1,0,174.68,0.703
100108389,TWO SCOTTS,2015-03-19,0.995,35,44872.19,0.175
100108521,DISH PASSIONATE CUISINE,2014-06-25,0.844,43,105688.06,0.387
100108676,Planks,2022-02-15,1,78,366648.52,0.185
100108901,FREDERIK MEIJER GARDENS & SP CATERING,2023-10-30,0.847,55,52174.77,0.32
100109026,SCHU'S AT 505,2023-10-30,0.98,52,203680.9,0.22
100109483,TURNBERRY ISLE MIAMI,2014-09-11,0.944,31,49297.73,0.252
100109880,LINDBURGERS- WELLINGTON,2023-05-01,0.996,37,121816.2,0.155
100110377,MONAHAN'S,2014-05-05,0.996,37,455837.72,0.142
100110514,LANDING RESTAURANT (THE),2014-05-13,0.947,35,174116.73,0.251
100110541,SHOOTERS,2016-04-29,0.79,54,89417.23,0.149
100111310,BEACHHEAD RESTAURANT,2024-05-20,0.966,29,186435.24,0.183
100111317,CINCO DE MAYO,2018-04-09,0.987,28,179426.24,0.21
100111383,PIZZA PERFECT - CLOFTON,2014-05-30,1,28,75937.62,0.19
100111629,FAT RONNIE'S BURGER BAR,2014-05-30,0.996,46,145859.78,0.195
100111632,FREDERIK MEIJER GARDENS CONCESSIONS,2024-05-31,0.68,34,53355.14,0.357
100111829,FARMHOUSE DELI (THE),2014-06-05,0.842,50,124580.71,0.232
100112272,DOW CHEMICAL/HORIZONS,2023-11-01,0.99,32,114495.11,0.263
100112416,GRAVITY TAP HOUSE,2023-11-01,0.952,50,127946.72,0.096
100112451,CRYSTAL DOWNS GRILLE,2024-05-07,0.972,31,37371.21,0.321
100112530,Two Twenty Two Grill 351768E,2016-10-19,0.999,37,46118.8,0.173
100112548,FRANKLIN TAP,2014-06-30,0.947,33,82222.81,0.301
100113663,Garage Bar & Grill (The) - Downtown,2014-09-10,0.997,32,127882.41,0.255
100114326,BREWED AWAKINGS WARWICK,2024-02-28,1.01,36,110042.6,0.228
100114699,OISHII BENTO,2014-08-22,0.989,34,42233.69,0.093
100116321,HAMLIN CORNER CATERING,2023-11-01,0.942,36,42675.7,0.209
100118136,BACK ALLEY PIZZA,2014-10-31,0.981,37,78649.89,0.214
100118185,STANIEL CAY YACHT CLUB,2023-05-01,0.824,76,318762.24,0.356
100118194,CHATHAM PERK,2014-11-10,0.977,33,131203.86,0.318
100118633,Short's Brewing Company- Pub,2014-11-25,0.988,42,199943.43,0.248
100120049,THE HUB,2014-12-18,0.968,28,37951.89,0.423
100120063,GIVING YOUTH A CHANCE INITIATIVE,2014-12-18,0.878,50,233524.35,0.251
100120155,WINCHESTER,2015-01-07,0.939,61,129319.27,0.218
100120772,SAN CHEZ RESTAURANT,2015-01-28,0.993,30,126967.44,0.261
100120891,CARLYLES CORPORATE CATERING,2015-03-04,0.806,51,73980.76,0.316
100120954,SIMONTON LAKE DRIVE IN,2015-03-13,0.989,32,68692.7,0.232
100122054,PIG FLOYD'S URBAN BARBAKOA,2020-02-24,0.977,50,132982.75,0.101
100123036,"ACADEMY MANAGEMENT, LLC",2015-03-06,1.028,28,105393.41,0.32
100123048,CENTURY CENTER,2015-05-15,0.966,28,69644.62,0.185
100123258,"BAKER BOTTS, LLP",2009-04-08,0.389,0,4734.93,0.399
100123630,TAMPICO SEAFOOD & COCINA,2011-07-22,1,0,248.25,-0.564
100123799,DONALD'S DONUTS,2014-01-27,,0,594.16,0.216
100124040,DOUBLE T'S DONUTS,2000-09-22,1,0,824.32,0.159
100124047,CATERING BY SANTANA,2013-04-17,0.008,0,3247.75,0.13
100124062,CIRCLE S GROCERY,2012-09-27,0.791,0,1400.7,0.343
100124242,HICKORY HOLLOW INN #1,1999-06-07,0.983,31,43541.18,0.231
100124280,ELDER DISTRIBUTING CO,2000-03-07,0.677,0,1883.02,0.468
100124493,METHODIST HOSP-MED CTR,1999-04-30,0.955,51,838905.48,0.356
100126053,"NORTHWEST MACHINE, INC.",2008-05-09,1,0,136.59,0.319
100126592,SNOWFLAKE-OAKRIDGE,1999-01-01,0.5,0,197.28,0.546
100126688,PRECIOUS MOMENTS,2020-02-20,0.988,0,3590.21,0.283
100126894,SOUTHERN KOMFORT KITCHEN,2011-11-02,0.893,28,250005.7,0.162
100126994,RUFFINO MEATS & FOOD SER.,2007-10-09,0.889,0,2816.35,0.077
100127030,TAMPICO SEAFOOD,2005-09-14,0.195,0,3416.87,0.121
100127109,HOUSTON NATIONAL GOLF CLU 154473E,2017-07-19,0.471,28,52499.32,0.273
100127338,TASTE OF TEXAS,1999-06-03,0.845,29,135921.46,0.08
100128572,NATE'S SEAFOOD & STKHOUSE,2014-08-14,0.645,31,56529.31,0.141
100128659,SNOOTY PIG CAFE-HIGLN VIL,2014-10-01,0.953,34,49623.64,0.194
100129410,FISHERS CAFE & PUB,2015-03-20,0.999,29,72479.07,0.204
100129442,Kanela III - Streeterville,2023-10-30,0.947,31,80166.18,0.182
100129612,GILMORE CATERING,2023-10-30,0.93,66,142464.95,0.142
100129945,PAPER STATION BISTRO,2023-12-14,0.981,49,109553.58,0.248
100130157,MARSH RIDGE,2024-04-26,0.997,30,57504.25,0.221
100130201,SANGRIA,2015-04-07,1.087,40,77966.09,0.23
100130265,TJ'S PUB,2020-06-12,0.996,28,25011.9,0.293
100130543,ON THE GO,2015-08-12,0.998,29,30972.32,0.325
100130933,2 FAT GUYS- HOCKESSIN,2024-02-27,0.91,28,64726.56,0.219
100130937,HOME GROWN CAFE,2015-05-27,0.984,43,129497.42,0.235
100131778,DEET'S COMMISSARY,2023-11-01,1,31,78551.03,0.206
100131825,WORLD FAMOUS,2017-05-26,0.949,74,378725.73,0.121
100132688,FRANKZ,2023-12-19,0.926,37,63398.13,0.347
100132727,CROSSING MINISTRIES - JONATHAN CREEK CAM,2015-05-22,0.914,33,259242.55,0.184
100133237,FUNKY BUDDHA BREWERY,2017-12-08,0.999,28,76315.36,0.257
100133979,FACTORY SPORTS LOUNGE (THE),2015-06-12,0.989,30,128009.94,0.189
100133986,BEAR PAW PIZZA & MARKET,2024-05-07,0.932,32,43255.52,0.24
100134323,MAPLE LEAF DINER,2015-08-28,0.97,29,119942.02,0.118
100135559,SLOW'S BARBQ 001,2023-11-01,0.997,33,56098.21,0.085
100135969,GOOD DAY CAFE,2024-05-01,0.984,70,112343.84,0.3
100136083,IL PRIMO PIZZA & WINGS-COLLIER BLVD,2023-05-02,0.982,31,162628.53,0.107
100137940,TACO BEACH AT HOLLYWOOD HOTEL,2023-05-04,0.789,37,75906.69,0.197
100138038,NANTUCKET BREAD,2020-09-09,0.886,34,163394.68,0.089
100138306,MONELLI'S - PORTAGE,2023-10-31,0.997,29,279227.19,0.16
100139012,RAY'S,2016-12-22,0.871,36,251352.4,0.36
100139090,HOLIDAY INN UNIV PLAZA-BOWLING GREEN,2015-10-06,0.959,33,133634.88,0.153
100139412,WAMESIT LANES FAMILY ENTERTAINMENT CTR,2015-10-07,0.997,36,122204.68,0.142
100140497,Atria,2022-04-15,0.896,64,192117.27,0.152
100140759,Brickside - Bridgeport,2015-10-23,0.994,29,123500.54,0.209
100140821,BACON BOURBON AND BEER,2016-05-02,4.741,35,33639.03,0.19
100140846,FOUNTAINS GOLF & BANQUET,2015-11-06,0.86,33,70427.8,0.247
100141251,RED MESA GRILL-TC,2023-10-30,1.129,36,145819.99,0.145
100141252,RED MESA GRILL BOYNE CITY,2023-10-30,1.184,37,133640.9,0.178
